Nom Total,Marque,Modele,Annee,Age (Years),Kilometrage (Km),Carburant,Boite,Prix (DT)
Mercedes GLA 200 AMG,Mercedes,GLA 200 AMG,2016,8,104000,Essence,Automatique,95000
Peugeot LANDTREK,Peugeot,LANDTREK,2021,3,124000,Diesel,Manuelle,64500
Kia Rio,Kia,Rio,2019,5,91000,Essence,Manuelle,52000
Kia Rio,Kia,Rio,2021,3,41000,Essence,Manuelle,63000
Ford EcoSport,Ford,EcoSport,2021,3,77000,Essence,Automatique,66000
Audi A3,Audi,A3,2016,8,154000,Essence,Manuelle,64500
Seat Arona,Seat,Arona,2020,4,43000,Essence,Automatique,75000
Nissan Qashqai,Nissan,Qashqai,2010,14,228000,Diesel,Manuelle,37000
Haval Jolion,Haval,Jolion,2021,3,35000,Essence,Automatique,84000
Fiat 500,Fiat,500,2017,7,99000,Essence,Automatique,38500
Renault Clio Tce,Renault,Clio Tce,2021,3,122000,Essence,Manuelle,41500
Peugeot 3008,Peugeot,3008,2020,4,93000,Essence,Automatique,69000
Audi A5 S-line,Audi,A5 S-line,2021,3,102000,Essence,Automatique,142000
Volkswagen Passat,Volkswagen,Passat,2019,5,101000,Essence,Automatique,87000
Land Rover Discovery,Land,Rover Discovery,2015,9,176000,Essence,Manuelle,114000
BMW X1,BMW,X1,2023,1,21000,Essence,Automatique,175000
BMW X3,BMW,X3,2020,4,69500,Diesel,Automatique,220000
BMW X5,BMW,X5,2018,6,214000,Diesel,Automatique,170000
Mercedes classe C,Mercedes,classe C,2016,8,176000,Essence,Automatique,90000
Audi A3,Audi,A3,2022,2,56000,Essence,Automatique,119000
Jaguar XJL,Jaguar,XJL,2014,10,51500,Essence,Automatique,150000
Audi A7,Audi,A7,2022,2,86000,Essence,Automatique,295000
Kia sportage,Kia,sportage,2021,3,61000,Essence,Automatique,108000
Mercedes GLC Coupé,Mercedes,GLC Coupé,2020,4,70000,Hybride,Automatique,245000
Mercedes Classe A,Mercedes,Classe A,2021,3,37000,Hybride,Automatique,137000
BMW Série 4 Coupé,BMW,Série 4 Coupé,2023,1,20500,Essence,Automatique,265000
Hyundai Tucson,Hyundai,Tucson,2023,1,11500,Essence,Automatique,142000
Land Rover Range Rover,Land,Rover Range Rover,2017,7,52000,Essence,Automatique,460000
Mercedes GLC 220,Mercedes,GLC 220,2018,6,39000,Diesel,Automatique,220000
Chery Tiggo 8,Chery,Tiggo 8,2022,2,49500,Essence,Automatique,88500
Land Rover Range Rover,Land,Rover Range Rover,2013,11,178000,Diesel,Automatique,145000
Porsche Macan,Porsche,Macan,2023,1,22000,Essence,Automatique,360000
BMW Série 1,BMW,Série 1,2019,5,111074,Essence,Automatique,80800
Hyundai Creta,Hyundai,Creta,2020,4,90500,Essence,Automatique,74000
BMW X4,BMW,X4,2019,5,50000,Essence,Automatique,243000
BMW X2,BMW,X2,2018,6,38000,Essence,Automatique,132000
BMW Série 4,BMW,Série 4,2017,7,108000,Essence,Automatique,97500
MG HS,MG,HS,2021,3,78000,Essence,Automatique,84500
Ford EcoSport,Ford,EcoSport,2021,3,46500,Essence,Manuelle,64000
Ford Kuga,Ford,Kuga,2019,5,93000,Essence,Manuelle,71500
Volkswagen Golf 7,Volkswagen,Golf 7,2017,7,98500,Essence,Manuelle,62500
Kia sportage,Kia,sportage,2021,3,85000,Essence,Automatique,103000
Ford Focus,Ford,Focus,2016,8,146000,Essence,Manuelle,37500
Kia sportage,Kia,sportage,2019,5,123000,Essence,Automatique,76000
Mazda 3,Mazda,3,2017,7,130000,Essence,Manuelle,46000
Mercedes Classe C,Mercedes,Classe C,2022,2,35000,Essence,Automatique,215000
Haval H6,Haval,H6,2019,5,99000,Essence,Automatique,72000
Ford EcoSport,Ford,EcoSport,2020,4,94000,Essence,Manuelle,66000
Mercedes GLA,Mercedes,GLA,2021,3,91000,Essence,Automatique,182000
Mercedes GLB 200,Mercedes,GLB 200,2022,2,50000,Essence,Automatique,175000
